unique_id,failed_transaction,succesful_transaction,revenue,profit,inventory_count
0,198,16,7309.399999999998,953.3999999999994,28
1,222,18,7856.799999999997,1024.8,4
2,172,11,5983.449999999999,780.4499999999992,51
3,154,30,10007.299999999997,1305.3000000000002,2
4,175,34,13009.949999999999,1696.9500000000003,18
5,127,27,9925.65,1294.6499999999996,16
6,168,6,3215.4,419.39999999999986,41
7,223,22,9513.950000000003,1240.9499999999996,30
8,216,16,8187.999999999999,1067.9999999999995,40
9,161,36,12636.199999999995,1648.2000000000003,20
