step,seller,customer,product,timestamp,cost,status
0,1,35,p2,1,266.79999999999995,True
0,2,10,p4,1,0,False
0,2,10,p1,1,124.19999999999999,True
0,2,5,p2,1,281.75,True
0,0,33,p2,1,252.99999999999997,True
0,1,46,p2,1,266.79999999999995,True
0,3,24,p3,1,0,False
0,0,3,p3,1,449.65,True
0,0,48,p2,1,252.99999999999997,True
0,0,22,p4,1,507.15,True
1,2,27,p2,1,281.75,True
1,0,8,p2,1,252.99999999999997,True
1,0,4,p3,1,449.65,True
1,2,9,p1,1,0,False
1,2,9,p3,1,0,False
1,2,14,p1,1,0,False
1,0,0,p4,1,507.15,True
1,1,47,p1,1,0,False
1,1,47,p4,1,552.0,True
2,1,18,p2,1,266.79999999999995,True
2,2,2,p3,1,0,False
2,2,2,p1,1,0,False
2,0,24,p3,1,449.65,True
2,3,32,p2,1,297.84999999999997,True
2,2,1,p3,1,0,False
2,2,1,p1,1,0,False
2,1,39,p2,1,0,False
3,0,31,p4,1,0,False
3,0,31,p1,1,187.45,True
3,2,28,p4,1,0,False
3,0,19,p3,1,0,False
3,1,23,p2,1,0,False
3,2,15,p2,1,0,False
3,2,15,p1,1,0,False
3,2,38,p4,1,0,False
3,2,38,p1,1,0,False
3,1,36,p4,1,552.0,True
3,1,25,p1,1,0,False
3,3,7,p2,1,297.84999999999997,True
4,2,44,p1,1,0,False
4,3,21,p3,1,0,False
4,1,45,p2,1,0,False
4,1,45,p1,1,0,False
4,1,16,p1,1,0,False
4,2,1,p3,1,0,False
4,2,1,p1,1,0,False
4,1,29,p2,1,0,False
4,1,29,p1,1,0,False
4,1,6,p1,1,0,False
4,1,6,p4,1,552.0,True
5,1,12,p3,1,0,False
5,1,12,p2,1,0,False
5,0,30,p3,1,0,False
5,0,30,p2,1,0,False
5,3,28,p4,1,517.5,True
5,0,37,p3,1,0,False
5,0,23,p2,1,0,False
5,1,41,p2,1,0,False
5,1,25,p1,1,0,False
5,1,17,p1,1,0,False
5,1,17,p2,1,0,False
6,2,45,p2,1,0,False
6,2,45,p4,1,0,False
6,2,45,p3,1,0,False
6,2,45,p1,1,0,False
6,3,42,p4,1,0,False
6,3,42,p2,1,297.84999999999997,True
6,0,9,p3,1,0,False
6,0,2,p2,1,0,False
6,1,26,p2,1,0,False
6,1,26,p4,1,0,False
6,2,14,p1,1,0,False
6,3,19,p3,1,0,False
7,3,29,p2,1,0,False
7,2,23,p2,1,0,False
7,0,13,p2,1,0,False
7,1,41,p2,1,0,False
7,1,44,p1,1,0,False
7,0,43,p2,1,0,False
7,3,12,p3,1,0,False
8,2,39,p4,1,0,False
8,2,39,p2,1,0,False
8,0,49,p2,1,0,False
8,3,34,p4,1,0,False
8,1,16,p1,1,0,False
8,1,26,p2,1,0,False
8,1,26,p4,1,0,False
8,0,2,p2,1,0,False
8,2,38,p4,1,0,False
8,2,38,p1,1,0,False
8,3,30,p3,1,0,False
8,3,30,p2,1,0,False
8,1,15,p2,1,0,False
8,1,15,p1,1,0,False
8,0,19,p3,1,0,False
8,1,37,p3,1,0,False
8,1,37,p1,1,0,False
9,2,9,p1,1,0,False
9,2,9,p3,1,0,False
9,1,29,p2,1,0,False
9,1,29,p1,1,0,False
9,1,45,p2,1,0,False
9,1,45,p1,1,0,False
9,1,13,p2,1,0,False
9,1,43,p2,1,0,False
9,1,43,p1,1,0,False
10,0,37,p3,1,0,False
10,2,15,p2,1,0,False
10,2,15,p1,1,0,False
10,2,34,p4,1,0,False
10,3,26,p2,1,0,False
10,3,26,p4,1,0,False
10,0,49,p2,1,0,False
10,1,39,p2,1,0,False
10,3,38,p4,1,0,False
10,2,17,p1,1,0,False
10,2,17,p2,1,0,False
10,1,40,p2,1,0,False
11,2,44,p1,1,0,False
11,2,12,p3,1,0,False
11,2,30,p3,1,0,False
11,2,30,p1,1,0,False
11,2,30,p2,1,0,False
11,1,1,p3,1,0,False
11,1,1,p1,1,0,False
11,3,13,p2,1,0,False
12,1,34,p4,1,0,False
12,2,17,p1,1,0,False
12,2,17,p2,1,0,False
