unique_id,failed_transaction,succesful_transaction,revenue,profit,inventory_count
0,248,68,19756.999999999978,2577.0,207
1,400,17,6517.049999999999,850.0499999999996,115
2,444,8,4388.400000000001,572.3999999999996,202
3,329,46,11985.299999999992,1563.2999999999981,210
4,210,77,20097.39999999999,2621.399999999996,108
5,61,132,18965.800000000003,2473.8,298
6,256,3,1604.25,209.25,325
7,480,15,8142.000000000002,1061.9999999999993,319
8,252,59,16859.00000000001,2198.9999999999955,214
9,432,10,5658.000000000001,737.9999999999995,248
10,424,7,3324.6499999999996,433.6499999999999,177
11,322,58,21736.15000000001,2835.1500000000015,138
12,52,118,18602.399999999998,2426.400000000004,260
13,379,9,4660.949999999999,607.9499999999994,219
14,424,7,3429.3,447.29999999999984,240
